name,tuition,rank,acceptance,website,location
California State University--Fresno,"$12,723 (out-of-state), $6,585 (in-state)",206,54%,http://www.csufresno.edu,"Fresno, CA"
Central Michigan University,"$12,510 (out-of-state), $12,510 (in-state)",207,72%,http://www.cmich.edu,"Mount Pleasant, MI"
Montana State University,"$24,849 (out-of-state), $7,421 (in-state)",208,83%,http://www.montana.edu/,"Bozeman, MT"
University of Colorado--Denver,"$32,005 (out-of-state), $11,395 (in-state)",209,61%,http://www.ucdenver.edu/,"Denver, CO"
University of North Dakota,"$20,891 (out-of-state), $8,827 (in-state)",210,84%,http://und.edu,"Grand Forks, ND"
Utah State University,"$21,505 (out-of-state), $7,424 (in-state)",211,90%,https://www.usu.edu/,"Logan, UT"
Wayne State University,"$29,663 (out-of-state), $13,776 (in-state)",212,81%,http://www.wayne.edu,"Detroit, MI"
Western Michigan University,"$15,373 (out-of-state), $12,483 (in-state)",213,82%,https://wmich.edu/,"Kalamazoo, MI"
West Virginia University,"$24,950 (out-of-state), $8,856 (in-state)",214,76%,http://www.wvu.edu,"Morgantown, WV"
Bowling Green State University,"$19,093 (out-of-state), $11,105 (in-state)",215,76%,http://www.bgsu.edu,"Bowling Green, OH"
North Dakota State University,"$15,144 (out-of-state), $10,176 (in-state)",216,93%,https://www.ndsu.edu,"Fargo, ND"
Old Dominion University,"$29,680 (out-of-state), $11,140 (in-state)",217,85%,http://www.odu.edu,"Norfolk, VA"
Shenandoah University,"$32,530",218,88%,https://www.su.edu/,"Winchester, VA"
University of Alaska--Fairbanks,"$24,970 (out-of-state), $8,800 (in-state)",219,73%,http://www.uaf.edu,"Fairbanks, AK"
University of Massachusetts--Dartmouth,"$29,141 (out-of-state), $13,921 (in-state)",220,76%,http://www.umassd.edu,"North Dartmouth, MA"
Benedictine University,"$34,290",221,77%,http://www.ben.edu,"Lisle, IL"
California State University--Fullerton,"$16,374 (out-of-state), $6,870 (in-state)",222,48%,http://www.fullerton.edu,"Fullerton, CA"
Dallas Baptist University,"$28,870",223,43%,http://www.dbu.edu,"Dallas, TX"
New Mexico State University,"$23,508 (out-of-state), $7,368 (in-state)",224,60%,http://www.nmsu.edu/,"Las Cruces, NM"
University of Texas--Arlington,"$26,533 (out-of-state), $10,496 (in-state)",225,70%,http://www.uta.edu,"Arlington, TX"
South Dakota State University,"$12,128 (out-of-state), $8,764 (in-state)",226,91%,http://www.sdstate.edu/,"Brookings, SD"
Southern Illinois University--Carbondale,"$14,704 (out-of-state), $14,704 (in-state)",227,77%,http://www.siu.edu,"Carbondale, IL"
University of Missouri--St. Louis,"$27,327 (out-of-state), $10,275 (in-state)",228,71%,http://www.umsl.edu/,"St. Louis, MO"
University of South Dakota,"$12,425 (out-of-state), $9,061 (in-state)",229,88%,http://www.usd.edu,"Vermillion, SD"
American International College,"$35,680",230,69%,https://www.aic.edu/,"Springfield, MA"
Ashland University,"$21,342",231,72%,https://www.ashland.edu,"Ashland, OH"
Augusta University,"$23,606 (out-of-state), $8,634 (in-state)",232,77%,http://www.augusta.edu,"Augusta, GA"
Barry University,"$29,850",233,62%,http://www.barry.edu/?source=niche&ad=home,"Miami Shores, FL"
Boise State University,"$23,776 (out-of-state), $7,693 (in-state)",234,82%,https://www.boisestate.edu/,"Boise, ID"
Cardinal Stritch University,"$29,998",235,82%,http://www.stritch.edu,"Milwaukee, WI"
Clark Atlanta University,"$23,438",236,72%,http://www.cau.edu,"Atlanta, GA"
Cleveland State University,"$14,164 (out-of-state), $10,112 (in-state)",237,87%,http://www.csuohio.edu/,"Cleveland, OH"
Eastern Michigan University,"$12,430 (out-of-state), $12,430 (in-state)",238,73%,http://www.emich.edu,"Ypsilanti, MI"
East Tennessee State University,"$26,463 (out-of-state), $8,679 (in-state)",239,92%,http://www.etsu.edu/,"Johnson City, TN"
Florida A&M University,"$17,725 (out-of-state), $5,785 (in-state)",240,31%,http://www.famu.edu,"Tallahassee, FL"
Florida Atlantic University,"$21,595 (out-of-state), $6,039 (in-state)",241,60%,http://www.fau.edu/,"Boca Raton, FL"
Gardner-Webb University,"$31,460",242,52%,http://www.gardner-webb.edu,"Boiling Springs, NC"
